gene_id	PC_0	PC_1	PC_2	PC_3
ENSG00000000003	1.418707570571562	0.007952019290059554	-0.004097307271545216	0.000540131546169366
ENSG00000000005	1.352556697404945	-0.13710851934221874	-0.040216009302995605	0.08395817509245569
ENSG00000000419	-0.9195330902557278	0.017215380559501392	0.0013864060108392127	-0.07242883067627998
ENSG00000000457	0.8615113424716994	-0.11070899324421932	-0.036743735773526555	0.0588979197549611
ENSG00000000460	-0.7055386990026002	-0.12978360810973905	-0.07148064095158442	0.05583325264224444
ENSG00000000938	-0.7104393660550606	-0.09110836697910438	-0.04865969089100057	0.012588697091204432
ENSG00000000971	-1.2065743528207522	0.11293393096414826	0.05256579542838803	-0.2088130938702337
ENSG00000001036	-0.6677074018033518	-0.03266388869321522	-0.01270983001950576	-0.0324080399481941
ENSG00000001084	-0.6286026537856276	-0.04819895241792192	-0.02501199078784733	-0.025051866934763394
ENSG00000001167	0.1588315878685572	-0.09211098962503492	-0.03636489772773382	0.02961627124962805
ENSG00000001460	1.1450716544457986	-0.11768423696011159	-0.032446516515450274	0.06258764099159833
ENSG00000001461	0.16676633753090886	-0.07889175901215721	-0.03424130550221189	0.028615877087041643
ENSG00000001497	-0.1899810754600588	-0.07241146194144757	-0.036335529057105076	0.013392216722043606
ENSG00000001561	-0.836778219065658	-0.0890941362085215	-0.06189338100419743	0.029771730816924843
ENSG00000001617	0.8777376191428933	-0.0842447488474972	-0.02602754039989357	0.033833802392561084
ENSG00000001626	-1.2043903127750684	-0.0756857521209481	-0.020364047654845962	0.09957946441164175
ENSG00000001629	-1.605069188240986	-0.08231978558859193	-0.06558510979327128	0.00999486688344982
ENSG00000001630	-1.0224849631383581	-0.05097883820005925	-0.027702655890695364	-0.02023853589667112
ENSG00000001631	-0.2296383637868447	-0.05296571130275715	-0.027165775475582465	-0.004145895044248314
ENSG00000002016	0.6713317584948121	-0.10803656088297964	-0.034684641557120165	0.05048053247759586
ENSG00000002330	-1.476185639135047	-0.03053279725666593	-0.05011681669710767	-0.017604638820729282
ENSG00000002549	-0.19255146085753824	0.12525598469404087	0.050221338659043234	-0.16832319339402516
ENSG00000002587	-0.42414076345598034	-0.138240719441623	-0.07183798683255481	0.06782613369482143
ENSG00000002726	-1.5858383519243513	0.004711870532944777	-0.003945982482970559	-0.11256066087328297
ENSG00000002745	1.56653370352441	-0.13961161219738835	-0.037720287141183216	0.0881030272187224
ENSG00000002746	-0.4724552859611204	-0.13897679853067113	-0.07210100765219513	0.06642749088934151
ENSG00000002822	-0.0964229884517425	-0.09614331131744625	-0.045131209892579356	0.03144240531174543
ENSG00000002834	-0.1898476558101092	0.07113763982269845	0.04606109212024937	-0.12950153179919888
ENSG00000002919	1.047903575272336	-0.08904482453773478	-0.02231841508327385	0.039073560457053604
ENSG00000002933	1.3177550204043555	0.1641036992893569	0.1409222454202846	-0.2543670141642155
ENSG00000003056	-0.0987838099402884	0.1381065216304775	0.0661296477239053	-0.1778274365492775
ENSG00000003096	-0.24586013363016518	-0.11971151477802809	-0.056812010626072586	0.04956313816289296
ENSG00000003137	-1.0237059974730183	-0.12750043382080603	-0.07633093043005663	0.04958578186279594
ENSG00000003147	-0.4014464238002667	-0.0310939638665131	-0.022564307548404654	0.004422085092925891
ENSG00000003249	-1.011810840693894	-0.11981424420761966	-0.07424959794440569	0.054737713077112254
ENSG00000003393	-1.6194936442453856	-0.1096281407745621	-0.07522651618651646	0.026540080884013193
ENSG00000003400	-1.334673300177828	-0.11298986062922194	-0.07251139880437561	0.03183997282580708
ENSG00000003402	-1.20474536016382	0.11392679629595368	0.03960071079161118	-0.17728216797520777
ENSG00000003436	1.2513143908908857	0.03518343776635764	0.06116315143080713	-0.11093842074567249
ENSG00000003509	0.13594195973157117	-0.0895488153345739	-0.03501710717015899	0.023683975205909424
ENSG00000003756	0.6945576265865151	0.24026439673221597	0.14078546325661023	-0.2585570398215594
ENSG00000003987	0.06852360621064367	-0.13942263198561963	-0.06294710636726758	0.07329589635650702
ENSG00000003989	0.9512275113332974	-0.06513863754335185	0.017163477600077515	0.032800429616467446
ENSG00000004059	-1.5625858788873204	0.23733265860001235	0.12370517915243946	-0.2530735091483815
ENSG00000004139	0.8377160115623324	-0.1135690374336658	-0.03826507527999151	0.06481950601019505
ENSG00000004142	0.5113961138819626	0.10419688951532302	0.07188879394544118	-0.13004957185468216
ENSG00000004399	0.4973514841515034	0.06732942604807203	0.059604550889331386	-0.13968255777404184
ENSG00000004455	-1.640261705744815	0.17320854917165418	0.06722864992870617	-0.23261233721755564
ENSG00000004468	-1.2748197275449509	-0.11341652463526833	-0.07269510488109569	0.031338333815756916
ENSG00000004478	-0.7035714462072574	0.0617969337668557	0.01568490807171035	-0.08748901465100917
ENSG00000004487	-0.27614871660323137	-0.027017379929208933	-0.012090838891715557	-0.030954413864678853
ENSG00000004534	0.694764282581139	0.14558824328802075	0.09172160746494289	-0.18023507676991346
ENSG00000004660	-1.3487224139400524	-0.11257628532116576	-0.09187335605384254	0.05782280867215474
